Category,Total,Percentage of total articles,
Total,2343,,
Term present,192,8.19,8.19%
Another way,109,4.65,4.65%
Methods,44,1.88,1.88%
Hypotheses,39,1.66,1.66%
Specific,24,1.02,1.02%
Implications,21,0.9,0.90%
Covariate,18,0.77,0.77%
Exclusion,17,0.73,0.73%
Demographics,16,0.68,0.68%
Primary Focus,9,0.38,0.38%
Inclusion,8,0.34,0.34%
Defined,7,0.3,0.30%
